task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
465	e3/b5890a	1202356	NFCORE_HIC:HIC:COOLER:COOLER_DUMP (MJ21_2)	COMPLETED	0	2024-11-07 17:54:48.470	9.7s	5.4s	343.5%	102.5 MB	8.2 GB	41 MB	538.7 KB
463	c0/35baba	1202357	NFCORE_HIC:HIC:COOLER:COOLER_DUMP (MJ21_2)	COMPLETED	0	2024-11-07 17:54:48.494	9.6s	5.3s	398.8%	102.6 MB	8.2 GB	41 MB	753.4 KB
499	d1/770792	1202392	NFCORE_HIC:HIC:COOLER:SPLIT_COOLER_DUMP (MJ21_1)	COMPLETED	0	2024-11-07 17:54:54.204	4s	14ms	115.3%	0	0	255 KB	118 KB
346	de/9db328	1202241	NFCORE_HIC:HIC:COMPARTMENTS:COOLTOOLS_EIGSCIS (MJ21_5)	COMPLETED	0	2024-11-07 17:54:24.715	38.4s	36s	180.7%	199.8 MB	8.3 GB	274.3 MB	134.7 KB
355	64/bdf0a3	1202248	NFCORE_HIC:HIC:COMPARTMENTS:COOLTOOLS_EIGSCIS (MJ21_6)	COMPLETED	0	2024-11-07 17:54:24.912	38.2s	34s	162.4%	189.6 MB	8.3 GB	274.3 MB	134.8 KB
387	05/c94e96	1202281	NFCORE_HIC:HIC:TADS:COOLTOOLS_INSULATION (MJ21_7)	COMPLETED	0	2024-11-07 17:54:33.999	29.1s	24s	161.9%	199.2 MB	8.3 GB	126.4 MB	98.6 KB
414	ed/8b1d36	1202305	NFCORE_HIC:HIC:TADS:COOLTOOLS_INSULATION (MJ21_1)	COMPLETED	0	2024-11-07 17:54:38.600	24.5s	21s	156.8%	212.5 MB	8.3 GB	126.3 MB	72.9 KB
116	2f/9a806b	1202006	NFCORE_HIC:HIC:HICPRO:MERGE_VALID_INTERACTION (MJ21_pool)	COMPLETED	0	2024-11-07 17:52:53.513	2m 10s	2m 5s	321.2%	4.9 GB	22.8 GB	18.2 GB	11.3 GB
420	0c/2d9b09	1202313	NFCORE_HIC:HIC:TADS:COOLTOOLS_INSULATION (MJ21_1)	COMPLETED	0	2024-11-07 17:54:38.796	24.3s	22s	149.1%	185.8 MB	8.3 GB	126.3 MB	98.2 KB
460	99/2130bd	1202351	NFCORE_HIC:HIC:HIC_PLOT_DIST_VS_COUNTS (MJ21_2)	COMPLETED	0	2024-11-07 17:54:48.351	14.8s	12s	293.1%	147 MB	8.4 GB	77.6 MB	85.9 KB
